公司全名,公司规模,职位名称,薪资水平,工作经验,学历要求,区域,职位福利,工作年限,经验,salary,月工资
小米,2000人以上,产线测试开发工程师（MTE）-生态链,10k-20k,不限,不限,海淀区,生产测试技术开发经验,[],0.0,"['10', '20']",12.5
京东集团,2000人以上,高级测试开发工程师-移动端,25k-50k,不限,本科,大兴区,"班车,周末双休,健身房,饭补",[],0.0,"['25', '50']",31.25
宜信,2000人以上,测试开发工程师（北京）,15k-30k,3-5年,本科,朝阳区,核心团队、发展空间大,"['3', '5']",4.0,"['15', '30']",18.75
字节跳动,2000人以上,测试开发工程师-客户端专项,20k-40k,3-5年,本科,海淀区,六险一金，弹性工作，免费三餐，租房补贴,"['3', '5']",4.0,"['20', '40']",25.0
美团点评,2000人以上,测试开发工程师/专家/测试经理,20k-40k,3-5年,本科,朝阳区,大平台，专业团队 发展空间,"['3', '5']",4.0,"['20', '40']",25.0
京东数字科技,2000人以上,测试开发工程师-L00297,15k-30k,3-5年,本科,大兴区,班车；餐补,"['3', '5']",4.0,"['15', '30']",18.75
瓜子二手车直卖网,2000人以上,测试开发工程师,20k-40k,3-5年,本科,海淀区,"平台大,团队牛,技术好,个人成长快","['3', '5']",4.0,"['20', '40']",25.0
第四范式,500-2000人,测试开发工程师,20k-30k,3-5年,本科,海淀区,六险一金,"['3', '5']",4.0,"['20', '30']",22.5
作业帮,2000人以上,资深测试开发工程师,18k-35k,3-5年,本科,海淀区,"七险一金,免费三餐,团队氛围好,年底双薪","['3', '5']",4.0,"['18', '35']",22.25
诸葛找房网,150-500人,测试开发工程师,18k-25k,3-5年,不限,朝阳区,"发展空间大,有大牛相伴","['3', '5']",4.0,"['18', '25']",19.75
京东集团,2000人以上,高级 测试开发工程师岗,15k-30k,5-10年,本科,大兴区,"14薪,免费班车","['5', '10']",7.5,"['15', '30']",18.75
猿辅导,500-2000人,测试开发工程师,15k-30k,1-3年,不限,朝阳区,"精英团队,独角兽公司,扁平化管理,出国旅游","['1', '3']",2.0,"['15', '30']",18.75
百度,2000人以上,测试开发工程师,15k-25k,1-3年,本科,海淀区,百度,"['1', '3']",2.0,"['15', '25']",17.5
猫眼电影,500-2000人,测试开发工程师,15k-30k,3-5年,本科,东城区,扁平管理、高成长,"['3', '5']",4.0,"['15', '30']",18.75
智蓝信息,150-500人,测试开发,13k-25k,3-5年,本科,海淀区,待遇优厚，大平台,"['3', '5']",4.0,"['13', '25']",16.0
