所在城市,评论者性别,评论者昵称,猫眼等级,评分,评论日期,评论内容,城市
绵阳,"('',)",Rla382218751,2,0.5,2018-12-31 21:04:09,境界果然高。表示看不懂。。。用大部分人眼光看。。就是拖沓。。故事情节紊乱。。瞌睡是挡不住了。。。,绵阳
即墨,"(2,)",半路友人！465,2,5.0,2018-12-31 21:04:05,很好很不错 挺好看的,即墨
邢台,"(1,)",逆天大圣933,1,0.5,2018-12-31 21:04:03,看了没四十分钟就想睡着了全程犯困，建议来看的话带个被子枕头啥的。2018最烂电影没有之一！,邢台
无锡,"('',)",SYq75396059,4,0.5,2018-12-31 21:04:02,给一分是因为最低分是一分，同时他治好了我的失眠,无锡
乌鲁木齐,"('',)",BVm606297358,2,1.0,2018-12-31 21:04:01,不知道是什么支持着我看完这部电影的,乌鲁木齐
武汉,"('',)",kilio7,2,0.5,2018-12-31 21:03:54,史上烂片，就是炒起来的,武汉
北海,"(1,)",small luckly,4,0.5,2018-12-31 21:03:49,这个电影卖的就是时间 电影名字跟剧情半毛关系都联系不上 是我看的最烂的一个电影 还不给退票 真的垃圾到爆,北海
贵阳,"('',)",小猪佩琪咧,1,5.0,2019-01-01 21:09:28,各位，跨年点抢的票，费尽心思，果然我被骗了，被各大宣传和评价骗了。影片是真的烧脑怪我情商低吧属实看不懂，整个影院见证两个吃苹果的镜头，从头吃到尾，嗝～刚开始还看了一个老鞭皮开演唱会，那叫一个自嗨的尬啊，坐滑索从头坐到尾，看的我捉急啊！什么鬼剧情一点关联都没有，贵州话还算小班班标准。说什么跨年点看到和对象吻到明年，woc开什么玩笑这么尬的剧情让我怎么浪漫，有些人走着走着就散了，有些电影看着看着就睡着了，人就慢慢走完了，评分给电影院环境可以，然后沙发确实舒服，我差点睡感冒了，大桶爆米花都吃完了，嗝～2018最炸电影没有之一，满分！能骗一个是一个。就这样，无力吐槽。,贵阳
深圳,"('',)",EvH155749738,2,3.5,2019-01-01 21:09:27,好看啊再看一遍,深圳
沈阳,"(2,)",liudi19961216,2,0.5,2019-01-01 21:09:17,拉么，拉么，拉么，太了拉吧！,沈阳
天津,"(1,)",中东西南北,3,0.5,2019-01-01 21:09:15,1分给吻戏，不能再多了，什么玩意儿。,天津
武汉,"(1,)",VnR21854683,3,1.0,2019-01-01 21:09:09,真不这烂片是如何审批通过的，从头看到尾，真不知编导们究竟拍此片是要表現啥？？？,武汉
吉林,"(2,)",MXJ1111,4,1.0,2019-01-01 21:09:05,可能很好  不过没懂,吉林
郑州,"('',)",秦琪w,2,0.5,2019-01-01 21:08:51,这拍的什么玩意！！,郑州
广州,"('',)",WX2921715197,1,1.0,2019-01-01 21:08:46,不好看，一点剧情都没有，演的乱七八糟的,广州
淄博,"(1,)",qzuser,1,0.5,2019-01-01 21:08:25,辣鸡的要死。。,淄博
咸阳,"(2,)",AyP826741936,2,1.0,2019-01-01 21:08:12,烂片，，，，，,咸阳
连云港,"(1,)",孙漂亮的殷毛毛,2,0.5,2019-01-01 21:08:01,一分我都嫌给多了,连云港
石家庄,"('',)",先生i00,2,0.5,2019-01-01 21:07:52,这是我看电影这么多以来，看得我腰疼坐不住，坚持不到零点了，太伤心了,石家庄
十堰,"('',)",大雄与猫,3,1.5,2019-01-01 21:07:41,导演确实不应该将自己对故事的理解要用这种方式强加给观众，全片都没有看到过阳光，天气不是阴沉就是下大雨，要不就是晚上，看的非常压抑沉闷，作为文艺片，可能这是一个有内涵深沉的故事，但根本就不应该在元旦期间上映啊，不敢说我看的很明白，140分钟，感觉很多镜头都在浪费时间。,十堰
北海,"('',)",qgS821581774,1,1.0,2019-01-01 21:07:39,真的牛逼电影  2018年度最精彩电影,北海
潍坊,"(2,)",二喵,2,0.5,2019-01-01 21:07:38,对我的折磨留在了2018，希望大家2019别给自己找罪受,潍坊
武汉,"(1,)",李腾2012393053,1,0.5,2019-01-01 21:07:27,什么垃圾东西……,武汉
北京,"(1,)",黑猫,4,3.5,2019-01-01 21:07:10,画面绚烂如画如梦，电影还属于先锋实验性电影，导演在探索新的电影叙事方式，不该采用商业电影式营销,北京
大连,"(1,)",是潘先生,2,0.5,2019-01-01 21:07:09,两个多小时演的啥啊，还不如拍个生活日常呢，真是2018的遗憾，浪费时间？！！！,大连
沈阳,"('',)",迷路的包子君,2,0.5,2019-01-01 21:07:04,太次了，看不懂,沈阳
武汉,"(1,)",ZPA617593074,2,0.5,2019-01-01 21:07:01,有史以来最难看的电影！,武汉
张家口,"('',)",sleep483,2,0.5,2019-01-01 21:06:49,完全没看懂，,张家口
青岛,"(1,)",mDH830894561,2,2.0,2019-01-01 21:06:45,说实话，从2d到3d的视觉转换是个非常有特色的设计，整部电影满满的模仿王家卫导演的痕迹，台词中二，剧情拖沓，长镜头过多，，不是看在演员的份上可能我不会来看，,青岛
秦皇岛,"('',)",OdX783392146,1,0.5,2019-01-01 21:06:44,实在不想说了，讲的什么啊，不看介绍根本看不明白讲的什么，扑朔迷离的，一会儿一个事，太跳了。,秦皇岛
承德,"('',)",HBJ740700490,2,0.5,2019-01-01 21:06:28,什么吃啊，简直是我今年看的最烂的片,承德
合肥,"('',)",Fenghoubin爱你啊,3,0.5,2019-01-01 21:06:27,能给0分嘛。。,合肥
许昌,"('',)",QIw673320268,2,0.5,2019-01-01 21:06:22,做这俩小时很努力看，真是看不懂，,许昌
成都,"(1,)",随便耍嘛,2,0.5,2019-01-01 21:06:22,从来没看过这么烂的电影，看了一半就走了,成都
绍兴,"(2,)",LIO855397874,3,0.0,2019-01-01 21:06:18,烂得不能看 浪费时间,绍兴
介休,"(1,)",东方蓝调的泪水,1,0.5,2019-01-01 21:06:16,烂片，光搞噱头了,介休
濮阳,"('',)",12138佩奇,3,0.5,2019-01-01 21:06:15,后边儿大哥，在我快睡着的时候，说了一句，这电影有点儿诡异啊…,濮阳
枣庄,"(1,)",广阔天空,2,0.5,2019-01-01 21:06:03,中国电影真的没希望了，真烂,枣庄
深圳,"(1,)",ALN331815682,2,1.5,2019-01-01 21:05:59,表示没看懂，啥也没看，全程在睡,深圳
武汉,"(1,)",猫太闹,5,3.0,2019-01-01 21:05:54,"碎片化的现实与回忆，真的很晦涩，很让人懵逼，还真的差点让人闭眼入梦，不过看到一半后，男主率先入梦了。这个一镜到底的梦娓娓道来，清晰地交织着回忆与现实，幻化为你我他邂逅的最后之夜，的确有点意思。
另外，说它烂片也好，神片也罢，但不可否认，导演的野心和片方的野心都很大。小众的文艺片要口碑还是票房，这种鱼与熊掌不可得兼的问题，你们心里没点数么 ?",武汉
济南,"(1,)",哎呦喂嗨123,1,5.0,2019-01-01 21:05:50,并不能说10分 但是我喜欢 想尽微薄之力提提评分罢了,济南
商丘,"(2,)",兰点LDD,2,0.5,2019-01-01 21:05:49,超级烂的一部电影，有史以来感觉最难看的一部电影,商丘
郑州,"('',)",欠砍,4,4.0,2019-01-01 21:05:47,这部电影的宣发有大问题，明显骗了相当一批本不该在观影范围的观众看了这部文艺片。但是毕赣依旧保持了自己的水准，他把一部简单的剧本用电影语言，将前半段凌乱的线索和后半段一镜到底的梦境合而为一，结尾戛然而止，很干练。,郑州
费县,"('',)",DJu284680151,2,0.5,2019-01-01 21:05:46,难受这个电影,费县
葫芦岛,"(1,)",馬叔🌞,2,0.5,2019-01-01 21:05:36,全程我都没看明白电影什么意思 一直就是一个人那那块说话,葫芦岛
大同,"('',)",ZOB221614155,2,1.0,2019-01-01 21:05:34,这部电影当时能坚持看完不退场的人都是真爱呀！,大同
武汉,"(2,)",CXG996809063,2,1.0,2019-01-01 21:05:32,不好看啊。。。。稀烂,武汉
东莞,"(2,)",七邪·,2,0.5,2019-01-01 21:05:29,这个电影一点也不好看,东莞
玉溪,"('',)",DlZ432248629,1,0.5,2019-01-01 21:05:26,完全不懂发生了什么，全程一脸懵逼,玉溪
常州,"(1,)",三寸季光不忘卿丶,2,1.0,2019-01-01 21:05:16,看了20分钟就出来了，就电影名字应景，内容看不懂。,常州
西安,"('',)",lang浪姬,2,1.5,2019-01-01 21:05:14,看的一脸懵逼啊 没看懂 电影没有3D效果 剧情烂是我看过最差的 谢谢,西安
